N,P,K,temperature,humidity,ph,rainfall,label
18.97,135.15,201.42,21.99,97.12,5.5,112.04,apple
31.21,159.88,198.03,22.27,84.79,5.83,52.65,grapes
16.66,29.57,34.62,35.39,57.65,5.77,77.19,mango
8.62,12.4,27.25,28.89,93.97,6.35,141.88,coconut
32.75,86.67,12.03,28.75,61.8,6.96,45.05,lentil
18.67,46.4,22.96,28.87,73.03,6.14,61.94,mungbean
110.4,12.39,50.8,27.33,91.59,5.91,20.88,muskmelon
25.93,21.64,29.8,30.98,92.23,5.99,181.13,coconut
24.22,11.95,5.0,21.15,96.7,7.26,120.56,orange
111.93,16.91,47.32,29.13,92.82,6.81,37.91,muskmelon
21.06,25.38,10.42,23.79,89.07,7.31,102.1,orange
10.96,65.72,16.64,15.28,68.53,6.45,134.95,pigeonpeas
30.75,117.66,219.31,21.48,92.11,5.47,101.43,apple
40.98,70.08,75.08,19.81,14.28,7.61,72.61,chickpea
42.79,64.91,17.12,31.57,69.43,6.97,84.23,blackgram
107.73,37.35,36.61,23.32,63.07,6.53,172.6,coffee
44.59,79.45,11.89,16.03,23.89,5.97,115.98,kidneybeans
22.43,9.63,23.09,22.57,96.45,6.23,196.09,coconut
41.94,63.47,82.38,18.11,16.84,7.96,59.87,chickpea
25.73,40.76,18.83,26.64,45.11,6.8,45.69,mothbeans
17.02,46.17,14.06,27.89,44.89,6.13,55.17,mothbeans
21.02,137.75,181.32,22.85,79.58,5.76,84.15,grapes
47.53,70.81,91.9,21.02,15.31,6.69,75.82,chickpea
12.39,12.86,14.83,19.56,92.54,7.09,129.47,orange
18.08,66.38,21.63,21.35,66.06,6.71,26.19,lentil
44.99,50.08,17.98,26.56,71.62,7.64,36.88,blackgram
110.31,77.64,41.59,26.04,79.82,6.57,66.32,banana
29.65,10.07,35.99,28.64,91.08,6.69,180.79,coconut
26.52,15.55,14.7,25.4,93.29,7.2,116.34,orange
63.99,45.58,41.2,25.03,85.56,5.84,173.64,rice
5.4,43.49,6.69,32.11,78.48,7.33,62.19,mungbean
12.07,18.41,32.89,24.9,91.23,5.89,183.74,coconut
17.6,123.23,198.04,24.88,74.48,5.22,60.45,grapes
8.85,21.69,22.33,27.72,47.85,6.95,48.79,mothbeans
24.79,21.75,31.4,30.36,100.0,6.11,150.18,coconut
10.93,64.83,18.15,27.28,23.6,5.01,93.7,kidneybeans
29.51,15.39,28.8,26.31,96.58,6.05,182.28,coconut
33.76,54.79,15.13,27.85,51.4,7.0,79.02,mothbeans
100.87,78.07,30.91,27.94,87.89,6.13,117.18,banana
10.8,17.58,15.46,22.84,94.43,7.44,128.55,orange
116.92,20.06,43.87,22.2,88.37,6.38,16.11,watermelon
109.18,33.32,31.27,24.16,55.2,6.81,166.24,coffee
48.44,70.93,21.72,24.25,65.4,7.34,78.93,blackgram
110.06,21.26,39.47,27.07,94.47,6.42,14.26,muskmelon
98.79,28.12,20.9,26.33,59.45,7.2,160.0,coffee
113.38,17.07,46.63,30.09,92.36,6.1,36.55,muskmelon
14.71,142.25,194.83,23.84,95.63,5.64,124.9,apple
90.09,66.27,39.47,28.99,81.02,5.84,94.82,banana
101.69,42.77,16.64,22.15,54.24,5.84,54.88,maize
100.42,18.96,51.1,30.38,93.04,6.38,35.42,muskmelon
40.83,59.72,29.49,32.12,59.08,6.43,62.21,blackgram
13.91,126.53,177.53,24.01,95.81,5.77,108.53,apple
45.04,69.91,15.96,27.46,55.41,7.99,68.2,blackgram
22.19,51.64,20.04,21.74,54.6,8.13,42.8,mothbeans
103.42,14.71,58.57,21.67,86.62,5.73,48.06,watermelon
89.02,109.22,58.44,29.2,81.97,5.1,112.9,banana
96.0,18.04,39.23,30.54,90.95,6.4,38.93,watermelon
25.83,71.04,11.12,31.78,64.46,6.22,70.14,mothbeans
64.88,28.29,36.48,24.04,90.38,6.56,226.24,rice
33.56,12.71,23.13,23.52,97.23,5.76,168.66,coconut
18.09,30.6,24.56,31.28,52.51,5.06,107.17,mango
25.04,130.35,187.03,28.77,79.0,4.92,76.88,grapes
24.28,9.4,41.98,18.56,88.54,6.7,118.43,pomegranate
11.6,58.05,23.58,17.15,23.78,5.02,121.96,kidneybeans
17.08,109.57,189.74,23.97,82.24,6.96,71.22,grapes
62.01,40.52,51.41,23.96,87.68,6.2,148.66,jute
92.46,38.44,40.72,23.04,84.39,6.57,276.5,rice
108.27,41.38,24.24,25.92,79.51,6.87,89.29,cotton
25.62,45.71,28.44,26.55,90.73,6.68,38.87,mungbean
34.3,55.21,19.2,25.43,72.41,7.05,65.34,blackgram
23.0,86.96,38.66,21.82,19.9,5.97,122.75,kidneybeans
78.27,43.99,25.21,22.56,79.7,6.93,248.74,rice
20.43,137.19,193.52,24.7,78.29,6.64,60.49,grapes
13.91,127.54,196.81,19.67,96.41,5.37,133.19,apple
23.1,26.34,50.72,20.26,80.79,5.91,99.46,pomegranate
30.36,68.34,20.48,29.22,39.38,5.82,63.9,pigeonpeas
64.44,40.64,29.89,26.27,69.87,5.75,75.51,maize
101.92,39.53,12.07,16.54,59.89,5.64,134.26,maize
24.83,125.5,193.78,19.04,85.13,5.46,89.45,apple
21.88,80.29,21.88,24.57,52.56,5.52,122.22,pigeonpeas
20.54,16.58,38.79,28.29,96.1,6.19,171.15,coconut
24.73,80.46,23.13,26.61,70.72,6.33,172.95,pigeonpeas
51.7,54.85,55.64,33.47,92.17,7.32,161.56,papaya
56.07,61.46,38.66,32.34,90.16,6.52,112.4,papaya
49.38,50.92,71.37,16.69,11.3,7.71,76.12,chickpea
28.29,12.86,10.41,19.74,94.53,6.78,108.54,orange
102.44,53.54,39.44,24.56,76.37,7.62,240.17,rice
14.22,17.9,12.76,22.43,96.81,7.18,123.7,orange
15.93,42.46,17.99,23.02,68.12,6.82,41.19,lentil
26.18,24.72,27.57,33.27,62.78,6.12,81.9,mango
118.56,79.46,45.42,27.95,75.75,6.41,83.88,banana
131.87,54.26,48.2,30.45,80.49,6.28,107.0,banana
67.56,25.56,38.24,26.8,77.55,7.56,168.59,jute
12.23,128.94,194.97,18.77,79.24,5.91,68.28,grapes
62.84,57.3,42.36,29.92,88.34,7.05,136.98,papaya
24.22,145.33,201.34,25.33,91.46,6.15,125.07,apple
28.15,123.33,224.02,26.68,81.38,5.09,69.71,grapes
93.1,13.86,35.86,25.06,84.74,6.83,46.03,watermelon
138.14,46.19,9.83,24.73,76.52,7.25,93.92,cotton
32.38,84.39,25.87,20.26,16.15,5.28,115.45,kidneybeans
111.36,26.91,57.63,31.52,80.39,6.09,27.17,watermelon
14.09,79.79,26.25,29.33,46.7,6.15,121.72,pigeonpeas
11.63,62.09,21.15,20.41,53.05,5.84,56.81,lentil
90.79,13.47,47.92,25.03,92.26,6.9,26.35,muskmelon
104.71,78.84,53.14,27.88,83.33,6.54,106.56,banana
15.42,51.26,18.35,24.1,66.28,7.58,42.45,lentil
17.94,147.23,201.13,20.94,94.41,5.57,114.43,apple
19.95,75.26,17.38,15.18,31.5,6.39,79.15,kidneybeans
17.87,23.45,31.96,29.84,53.19,5.14,90.22,mango
102.43,44.21,18.37,21.25,56.88,5.98,48.28,maize
25.6,8.88,6.1,22.69,89.83,8.35,117.74,orange
27.98,26.28,21.96,30.03,38.1,5.24,102.78,mango
25.15,11.61,23.31,26.86,91.29,6.22,195.36,coconut
93.04,60.56,44.13,27.75,78.13,5.78,163.85,rice
11.6,18.14,4.18,23.81,93.88,6.34,133.25,orange
101.65,19.99,23.21,25.03,54.76,6.27,117.65,coffee
130.05,63.1,27.26,24.88,84.52,6.55,95.53,cotton
24.5,68.85,22.55,27.89,60.79,5.23,122.92,pigeonpeas
39.4,60.98,15.2,26.45,60.67,7.48,64.67,blackgram
89.48,21.58,59.49,26.02,90.53,6.19,51.32,muskmelon
27.85,63.77,15.17,31.23,71.98,6.1,33.62,mungbean
76.3,30.58,25.18,22.57,51.33,7.02,191.47,coffee
112.85,38.92,31.6,22.8,71.38,6.14,204.63,rice
100.44,19.25,51.68,28.92,93.3,5.69,31.37,muskmelon
34.63,80.84,42.27,32.68,92.77,6.58,137.75,papaya
54.82,51.41,43.43,34.89,91.76,6.81,137.34,papaya
10.18,31.16,22.48,27.36,87.28,7.05,51.98,mungbean
21.76,127.91,203.85,23.31,84.67,5.23,64.55,grapes
29.78,29.22,26.46,28.49,53.17,5.74,126.48,mango
26.61,52.19,22.97,28.0,87.49,7.5,43.72,mungbean
43.02,74.66,91.27,18.7,14.98,6.86,63.46,chickpea
81.12,50.72,9.79,19.76,73.43,6.28,105.45,maize
26.16,38.84,32.26,30.63,58.26,6.53,85.4,mango
13.66,5.34,48.04,18.94,94.65,7.04,82.28,pomegranate
21.98,12.01,46.75,26.66,97.88,5.27,161.75,coconut
21.5,12.36,28.89,30.59,39.08,5.34,111.19,mango
65.47,69.45,10.5,23.93,70.07,6.51,79.44,maize
18.71,17.41,33.74,28.4,95.38,5.9,159.1,coconut
22.66,51.08,13.43,25.36,70.99,6.36,83.12,mothbeans
100.35,88.25,51.93,29.62,79.7,5.81,116.85,banana
27.79,19.6,18.89,29.65,94.28,6.06,153.38,coconut
65.14,41.34,41.0,22.99,74.25,6.43,192.51,rice
16.13,61.71,13.66,31.89,45.41,6.01,127.19,pigeonpeas
74.06,25.96,28.65,24.86,58.29,6.86,99.62,coffee
50.7,66.73,70.18,18.51,12.28,6.96,77.11,chickpea
23.97,20.36,30.0,32.36,92.19,6.6,173.47,coconut
23.06,54.58,22.01,26.38,28.92,5.28,133.46,pigeonpeas
44.47,51.28,55.23,30.86,96.0,7.0,145.51,papaya
106.09,16.22,56.11,28.8,90.72,6.35,23.52,muskmelon
15.4,36.63,23.99,25.61,79.3,5.98,40.76,mungbean
76.45,42.15,40.82,28.63,72.66,6.74,170.49,rice
114.33,30.12,33.6,27.54,56.8,6.35,192.53,coffee
27.83,55.78,23.26,29.06,63.89,6.89,63.42,blackgram
28.22,17.33,41.79,23.5,87.48,6.92,53.85,pomegranate
29.73,126.94,196.76,26.34,96.33,5.23,118.81,apple
94.28,9.06,48.34,26.87,94.03,5.9,38.6,watermelon
50.24,72.93,86.78,17.35,11.91,7.3,76.6,chickpea
91.47,6.73,52.89,25.22,87.78,6.39,38.54,watermelon
110.01,81.72,63.64,28.33,76.71,5.38,121.36,banana
97.81,26.46,33.66,24.34,72.55,6.88,152.0,coffee
94.29,27.86,28.82,27.91,49.01,6.55,112.1,coffee
30.55,57.19,17.21,21.39,25.7,5.57,93.05,kidneybeans
35.84,50.24,17.92,23.17,50.37,6.6,69.21,mothbeans
77.3,20.09,52.77,21.97,77.35,7.27,66.21,watermelon
36.08,56.82,12.84,27.88,70.16,7.56,60.55,blackgram
86.0,72.03,56.88,26.11,76.58,5.58,118.98,banana
108.37,36.28,22.8,25.82,84.69,7.2,77.33,cotton
13.61,75.9,26.21,14.46,15.42,4.95,92.0,kidneybeans
62.66,45.43,6.65,24.2,70.18,6.06,132.22,maize
92.43,10.74,46.55,27.52,92.81,6.5,16.72,muskmelon
24.48,16.93,15.19,22.67,87.55,7.58,95.79,orange
20.78,28.0,27.26,22.24,98.54,6.57,141.01,pomegranate
84.45,58.3,21.91,22.22,63.43,6.26,83.88,maize
118.35,21.73,57.48,28.74,88.65,6.38,34.7,muskmelon
24.66,132.72,194.71,30.44,81.62,6.58,63.98,grapes
49.89,68.36,55.6,33.25,88.73,6.13,147.66,papaya
99.7,10.86,47.44,30.78,92.96,6.39,43.96,muskmelon
13.5,14.16,10.13,20.95,94.71,7.09,123.62,orange
109.99,15.18,48.27,27.73,89.67,6.22,22.3,muskmelon
83.46,46.12,35.74,26.3,83.36,5.82,158.69,jute
16.0,140.04,228.04,21.74,75.34,5.0,67.74,grapes
84.89,56.0,47.28,24.17,76.22,6.68,153.18,jute
38.05,48.98,38.2,23.03,81.26,7.17,163.1,jute
95.6,33.38,30.55,24.79,54.19,6.87,184.91,coffee
113.63,39.73,21.3,24.13,79.88,7.07,71.4,cotton
27.85,16.84,41.31,24.87,89.47,5.61,150.86,pomegranate
108.22,57.74,13.69,22.04,79.74,6.59,62.3,cotton
19.16,66.57,10.81,21.54,24.43,5.67,127.49,kidneybeans
26.58,15.71,8.1,20.01,91.28,6.83,118.3,orange
106.51,20.05,28.95,23.55,60.86,6.93,172.03,coffee
32.45,77.82,12.13,21.87,28.97,5.89,126.82,kidneybeans
8.32,122.0,188.5,23.76,79.45,6.37,65.68,grapes
18.79,143.59,235.18,19.8,81.58,5.41,93.88,grapes
44.89,73.35,90.1,20.23,14.79,7.64,118.0,chickpea
17.72,23.22,39.82,29.44,55.88,5.52,85.79,mango
21.38,13.52,38.32,16.79,89.57,7.07,121.71,pomegranate
73.02,51.37,58.04,32.21,88.74,6.74,161.23,papaya
3.31,82.33,11.46,19.2,18.42,5.99,73.04,kidneybeans
109.27,22.24,20.02,26.11,71.95,6.4,190.55,coffee
24.23,19.94,44.94,20.51,94.81,6.41,109.16,pomegranate
17.37,64.26,14.68,30.32,87.14,7.33,37.99,mungbean
43.43,45.44,44.82,32.34,84.89,6.62,168.11,papaya
30.9,62.43,19.74,20.17,26.09,4.58,92.87,kidneybeans
21.39,55.69,16.35,29.09,56.11,5.67,90.31,mothbeans
24.66,22.11,30.28,24.23,97.17,6.47,197.46,coconut
20.23,51.77,30.33,23.51,70.58,6.48,50.62,lentil
10.92,12.61,43.31,18.8,88.8,5.42,111.74,pomegranate
19.62,24.31,33.95,30.21,62.74,6.53,77.17,mango
8.52,71.32,12.72,29.13,69.19,6.7,34.82,lentil
26.5,84.68,20.92,24.78,61.47,7.16,93.57,blackgram
115.57,89.64,67.28,26.06,74.86,5.65,109.18,banana
89.44,17.62,54.92,28.61,77.55,6.38,51.7,watermelon
125.16,67.39,61.91,28.35,73.14,7.26,103.73,banana
104.38,24.66,53.36,30.54,87.7,7.03,40.15,watermelon
19.8,19.38,6.81,20.62,93.05,7.14,117.61,orange
70.66,58.44,25.46,28.54,69.67,6.12,102.72,maize
15.04,77.84,19.76,22.57,54.56,6.45,21.38,lentil
82.7,91.68,53.99,29.1,81.3,5.97,70.48,banana
27.88,63.13,19.73,20.08,10.0,5.69,91.21,kidneybeans
56.73,61.95,44.83,31.74,87.68,6.36,194.05,papaya
2.44,54.83,19.85,31.61,78.43,5.11,52.19,mungbean
26.89,14.47,31.3,27.82,88.73,6.13,138.57,coconut
123.42,38.96,21.23,22.16,87.58,6.27,104.65,cotton
15.2,17.42,46.07,31.59,85.02,6.67,93.85,pomegranate
40.1,50.75,50.37,33.16,96.63,6.85,77.31,papaya
89.79,52.25,12.26,22.86,64.97,5.72,130.1,maize
138.6,49.52,16.03,25.6,82.83,6.91,85.33,cotton
23.72,151.69,203.9,20.6,87.14,5.45,114.1,apple
25.94,127.43,188.98,26.87,86.73,5.42,51.94,grapes
105.86,19.06,36.95,26.65,61.86,7.34,171.31,coffee
77.77,32.77,30.57,26.56,52.92,7.06,181.1,coffee
99.29,13.25,47.6,25.01,78.12,6.27,50.82,watermelon
52.88,59.06,43.07,26.21,75.69,7.0,181.88,jute
41.16,70.9,5.68,25.41,72.1,7.24,65.79,blackgram
15.6,18.32,27.21,33.17,49.8,6.11,128.29,mango
119.75,28.09,15.48,23.41,81.04,6.74,59.25,cotton
85.42,62.38,39.64,27.13,68.9,6.81,238.48,rice
25.5,12.97,6.23,21.08,89.1,7.23,92.57,orange
24.29,130.71,210.42,22.69,86.29,6.15,59.81,grapes
32.24,67.79,15.15,30.98,73.22,7.4,92.28,blackgram
15.67,48.98,16.36,26.79,80.88,5.98,50.19,mungbean
78.54,22.26,35.26,25.74,89.43,5.77,31.14,watermelon
97.18,49.91,20.37,18.92,70.97,6.62,149.9,maize
3.87,66.48,25.36,21.32,61.9,6.81,10.0,lentil
24.23,79.36,13.57,22.04,28.16,4.81,111.39,kidneybeans
25.89,135.13,180.53,16.44,82.6,5.89,55.35,grapes
80.08,44.65,25.85,23.16,80.29,6.0,228.55,rice
17.11,22.63,9.33,19.09,98.53,6.27,98.92,orange
35.47,73.96,88.55,19.27,23.39,6.73,76.13,chickpea
17.27,152.73,217.2,20.66,77.33,6.64,52.97,grapes
101.32,17.01,51.42,25.86,90.42,6.4,23.05,muskmelon
15.81,142.31,196.54,21.23,89.56,5.59,117.8,apple
10.93,59.39,27.26,27.06,62.09,7.33,51.12,lentil
19.57,51.96,24.16,30.2,43.14,6.63,73.9,mothbeans
18.26,50.78,16.94,25.46,47.15,6.51,57.19,mothbeans
75.62,47.73,12.53,21.67,57.92,6.21,136.35,maize
37.35,46.96,85.35,15.28,16.3,7.44,107.21,chickpea
20.54,15.93,35.5,22.01,87.82,7.49,82.61,pomegranate
97.48,14.24,38.64,22.43,85.99,6.66,47.23,watermelon
12.52,17.9,12.28,19.69,96.56,6.87,132.95,orange
10.03,64.09,24.97,31.27,48.37,6.71,21.34,mothbeans
88.91,48.52,25.86,22.76,65.63,5.3,112.49,maize
28.64,75.76,28.84,24.58,45.7,4.82,134.3,pigeonpeas
9.96,11.97,32.91,23.99,87.21,6.47,100.38,pomegranate
35.37,74.06,18.54,22.89,60.3,5.22,215.14,pigeonpeas
20.76,132.45,221.93,26.91,76.82,5.41,78.68,grapes
22.26,37.03,11.14,25.78,64.92,7.37,54.86,mothbeans
30.85,83.85,23.38,17.36,32.92,5.43,98.3,kidneybeans
26.61,76.15,19.37,29.18,45.62,6.91,59.21,mothbeans
74.25,47.88,49.81,22.91,80.81,6.88,188.0,jute
16.51,137.5,202.47,21.66,93.91,5.49,122.15,apple
119.04,49.62,12.67,20.31,75.9,7.48,86.69,cotton
21.03,58.07,19.12,19.6,50.85,7.08,40.24,lentil
85.33,34.98,29.12,25.06,45.96,7.21,175.68,coffee
106.91,66.78,57.98,25.89,80.05,5.85,79.57,banana
27.28,160.56,202.21,25.53,82.81,6.27,68.21,grapes
8.07,44.71,18.51,29.88,85.27,7.01,58.55,mungbean
54.22,74.26,56.14,35.96,88.86,6.83,148.88,papaya
62.98,45.19,34.38,24.92,60.43,6.59,126.98,maize
100.54,29.35,38.3,25.95,59.61,6.42,176.78,coffee
95.38,21.67,50.51,27.11,76.13,4.54,49.26,watermelon
0.0,65.13,10.22,31.82,55.77,6.08,210.84,pigeonpeas
43.83,78.25,8.54,30.23,62.79,7.16,74.88,blackgram
8.22,40.7,24.39,27.41,82.21,6.72,21.81,mungbean
34.17,42.61,77.66,23.27,20.63,7.78,104.72,chickpea
14.34,76.15,16.7,26.53,41.64,6.84,137.15,pigeonpeas
81.64,54.26,44.81,24.45,78.05,6.64,310.28,rice
85.51,27.26,27.06,27.11,53.82,6.78,172.67,coffee
101.32,25.95,35.36,22.88,61.13,6.46,147.22,coffee
80.8,43.54,21.55,26.22,56.79,6.37,64.0,maize
15.13,12.35,7.91,17.9,89.64,7.78,121.03,orange
99.76,13.36,42.7,29.4,94.54,6.64,40.15,muskmelon
23.64,133.1,212.12,23.94,93.24,5.92,122.86,apple
43.92,51.84,50.68,32.52,91.18,7.24,183.45,papaya
39.79,69.89,11.93,28.34,69.88,6.32,71.01,blackgram
88.29,25.67,53.07,25.32,83.75,6.65,49.2,watermelon
34.08,66.74,81.8,16.57,18.12,7.06,79.71,chickpea
2.62,16.03,8.16,18.81,90.34,6.77,109.28,orange
17.63,11.18,35.07,24.91,90.55,6.07,118.19,pomegranate
50.01,62.03,49.16,30.21,93.54,7.47,155.23,papaya
18.75,122.88,192.6,18.97,93.65,5.87,87.42,apple
14.11,81.03,24.19,18.67,18.12,5.85,114.26,kidneybeans
20.43,51.82,17.86,22.67,24.45,5.95,106.0,kidneybeans
105.85,23.95,53.76,25.31,80.07,6.76,77.35,watermelon
79.7,45.99,50.93,23.11,87.1,6.71,129.11,jute
19.65,25.67,31.15,28.7,48.45,6.17,107.84,mango
17.45,16.87,46.71,24.82,89.31,7.06,115.15,pomegranate
41.07,63.55,23.13,27.16,64.54,7.69,73.13,blackgram
104.69,50.41,25.44,24.42,75.99,7.08,71.96,cotton
24.35,81.02,23.9,15.49,27.31,5.2,97.32,kidneybeans
16.64,23.93,16.24,26.72,97.52,5.86,164.87,coconut
67.87,41.98,49.15,24.66,79.35,6.66,238.88,rice
19.34,69.13,20.12,26.76,73.15,6.6,36.76,lentil
86.29,50.24,30.91,23.38,61.56,6.36,101.3,maize
38.69,67.77,76.75,17.05,16.84,7.52,58.19,chickpea
89.75,24.17,51.53,29.32,87.5,6.88,38.01,muskmelon
22.08,19.75,6.97,23.87,95.38,6.96,140.03,orange
24.14,17.59,40.17,20.44,94.85,5.66,120.16,pomegranate
42.67,72.09,63.19,21.69,13.58,7.37,112.24,chickpea
29.03,58.99,22.03,23.74,75.06,7.1,42.48,lentil
67.85,66.01,19.68,18.71,66.02,5.96,110.22,maize
28.14,54.89,24.38,20.04,15.28,5.5,118.73,kidneybeans
30.07,19.26,33.84,28.23,92.8,5.88,152.44,coconut
69.28,19.51,62.15,28.23,88.91,6.19,42.7,muskmelon
106.04,17.03,54.34,22.57,92.79,7.0,24.83,watermelon
31.6,33.93,23.52,25.79,38.85,6.93,70.19,mothbeans
68.21,43.54,4.88,21.64,45.61,5.51,107.81,maize
86.4,58.81,26.67,24.38,64.44,5.47,97.89,maize
39.46,46.19,19.36,30.99,70.03,5.82,14.27,mothbeans
24.37,61.71,86.94,15.24,17.47,6.62,89.33,chickpea
50.47,63.65,10.95,31.23,63.36,7.12,92.11,blackgram
82.08,59.17,38.42,25.97,83.17,7.64,178.62,jute
61.78,47.76,55.6,31.1,92.32,6.98,128.51,papaya
12.31,73.79,13.11,22.0,23.78,4.84,91.45,kidneybeans
114.27,18.09,56.84,28.02,95.17,6.56,25.13,muskmelon
15.26,16.42,8.67,21.01,92.24,7.02,121.42,orange
48.08,58.52,16.46,27.64,50.63,6.93,78.99,blackgram
22.86,68.82,8.49,21.42,70.38,6.98,63.71,lentil
50.97,53.41,26.07,21.27,44.27,6.03,96.75,maize
9.76,38.15,21.19,27.76,47.21,6.51,63.92,mothbeans
21.19,17.77,36.07,14.85,91.49,7.27,96.18,pomegranate
1.05,38.34,29.77,26.25,41.26,6.68,91.36,mothbeans
94.41,12.38,52.15,25.56,86.94,5.99,20.98,watermelon
105.02,16.86,52.52,25.64,90.62,6.84,47.89,watermelon
13.7,42.83,22.06,29.05,79.61,6.46,64.11,mungbean
76.61,47.68,25.75,22.91,82.55,5.82,250.03,rice
82.78,20.43,47.9,27.13,91.9,6.42,33.95,muskmelon
26.17,64.84,14.76,30.53,55.21,5.25,204.22,pigeonpeas
61.69,49.09,20.4,21.34,82.98,6.77,241.85,rice
100.46,26.3,33.17,26.21,44.72,6.84,220.9,coffee
24.85,45.97,16.83,31.11,38.77,6.22,42.05,mothbeans
46.19,87.57,79.21,16.82,15.09,7.99,67.08,chickpea
141.88,82.91,57.88,23.44,86.01,6.29,95.32,banana
21.06,44.74,19.01,28.64,43.07,6.19,22.23,mothbeans
41.26,86.39,69.0,16.97,18.57,7.39,87.01,chickpea
12.76,74.99,27.69,23.05,63.07,7.63,53.58,lentil
97.06,18.65,56.0,26.83,83.34,6.66,52.2,watermelon
26.84,19.92,32.51,30.97,47.33,6.24,112.58,mango
94.02,47.33,43.33,27.69,77.51,6.57,175.4,jute
29.8,64.88,39.51,32.99,91.06,6.96,150.7,papaya
21.71,78.07,9.57,27.24,65.3,7.45,44.95,lentil
64.2,61.71,37.15,34.01,88.51,7.26,124.43,papaya
104.3,17.88,48.78,27.43,91.16,5.74,36.05,watermelon
35.35,65.94,105.44,14.49,17.27,7.53,101.72,chickpea
15.14,57.96,22.55,23.37,81.76,6.89,60.57,mungbean
102.05,20.49,53.14,25.93,93.95,6.57,14.29,muskmelon
15.87,71.88,30.83,19.43,25.32,5.05,85.87,kidneybeans
14.93,60.51,16.08,25.58,85.45,7.04,45.88,mungbean
53.51,72.76,48.23,32.19,93.6,5.99,139.08,papaya
6.44,69.7,8.53,26.73,34.32,6.99,186.45,pigeonpeas
15.8,48.84,20.08,29.44,50.31,5.7,41.34,mothbeans
105.31,24.36,28.43,26.84,66.54,6.34,121.73,coffee
24.23,54.16,21.36,27.03,88.55,7.04,52.61,mungbean
117.22,19.1,60.44,26.82,75.79,7.15,47.03,watermelon
22.06,120.76,224.26,21.69,86.57,6.09,73.78,grapes
40.86,56.28,49.79,20.31,20.52,6.12,59.81,chickpea
97.41,22.89,39.5,26.61,76.64,6.08,26.81,watermelon
20.84,27.32,22.04,32.11,55.06,6.14,113.93,mango
18.53,13.42,8.08,22.09,92.34,6.82,105.9,orange
17.45,22.42,9.59,19.42,94.04,6.88,119.31,orange
69.5,49.14,38.88,23.56,85.07,6.78,213.78,rice
76.32,39.46,31.1,22.37,81.61,6.57,246.07,rice
7.18,96.96,196.69,24.74,77.5,5.46,78.42,grapes
93.74,42.65,30.54,23.59,81.6,5.96,137.08,maize
31.02,43.52,15.85,22.09,54.03,8.03,55.55,mothbeans
27.07,71.6,16.01,21.15,62.27,6.4,46.72,lentil
118.94,43.57,6.12,24.04,81.51,6.7,56.91,cotton
72.35,44.3,30.21,23.11,83.89,6.78,198.11,rice
27.51,131.46,193.4,20.53,91.83,5.87,116.1,apple
13.92,24.72,9.14,18.99,90.92,6.48,131.51,orange
16.45,105.14,207.07,27.82,83.11,5.58,70.67,grapes
27.89,68.39,10.54,23.79,47.26,5.75,228.9,pigeonpeas
21.51,14.17,32.11,28.26,91.29,5.57,191.24,coconut
91.71,11.09,28.72,24.42,56.0,7.01,181.91,coffee
23.41,23.11,10.21,23.88,89.96,7.12,129.94,orange
15.33,6.82,8.24,18.59,92.69,6.74,126.67,orange
17.66,64.05,25.85,22.76,13.53,5.73,90.81,kidneybeans
135.98,44.08,16.4,22.44,77.56,6.08,65.5,cotton
97.55,20.64,46.77,27.49,73.04,5.99,59.69,watermelon
110.95,72.69,50.43,28.37,71.74,6.96,99.34,banana
135.51,78.22,37.09,26.19,80.06,6.18,93.17,banana
97.65,7.43,42.28,29.79,83.78,6.87,30.21,muskmelon
15.46,18.43,16.71,24.99,91.76,7.27,118.66,orange
17.34,111.63,208.5,22.05,73.37,5.81,84.72,grapes
38.24,43.85,14.35,28.74,80.19,7.44,43.75,mungbean
29.17,87.88,10.48,14.36,32.23,5.89,87.63,kidneybeans
26.16,124.87,213.53,24.62,83.78,6.21,45.93,grapes
71.35,55.36,28.7,25.06,89.21,5.16,203.12,rice
57.28,42.53,48.56,24.43,75.77,6.49,250.41,rice
53.09,60.34,45.11,32.01,92.22,7.68,152.53,papaya
21.58,48.73,19.1,31.58,52.16,6.13,42.13,mothbeans
41.01,67.41,25.22,30.0,76.82,6.6,70.04,blackgram
82.26,50.42,58.76,25.9,79.12,5.95,254.68,rice
27.8,51.18,20.64,29.16,86.94,7.34,67.42,mungbean
26.93,61.87,18.63,17.02,10.0,5.6,153.25,kidneybeans
29.68,62.6,26.73,29.04,55.11,7.73,78.97,blackgram
15.62,49.23,9.55,26.36,78.45,6.77,62.92,mungbean
53.55,50.24,36.15,22.65,85.06,6.92,272.25,rice
8.32,58.6,21.86,29.15,64.22,7.06,60.29,lentil
86.35,77.49,39.82,25.36,74.85,5.45,133.39,banana
26.47,53.34,27.27,20.78,18.78,5.77,69.48,kidneybeans
89.43,46.88,31.03,24.15,78.61,6.89,229.12,rice
52.73,46.96,66.45,32.06,93.97,7.01,141.51,papaya
68.63,48.26,24.14,20.82,66.49,5.92,66.65,maize
26.52,61.97,21.58,20.88,19.59,5.31,91.19,kidneybeans
82.69,90.55,52.64,29.63,79.94,5.47,100.73,banana
30.01,61.95,87.41,20.64,14.81,7.12,72.16,chickpea
65.58,61.36,80.85,23.63,26.03,8.33,104.17,chickpea
18.12,33.19,28.27,31.86,49.09,5.77,87.45,mango
121.75,16.25,51.6,27.87,89.53,7.05,19.72,muskmelon
